"Location","Year","dist_m","Stroke","Gender","Team","Athlete","Results","Rank","time_period","team_std"
"Tokyo",2020,100,"Backstroke","Men","ROC","Evgeny Rylov",51.98,1,"recent","RUS"
"Tokyo",2020,100,"Backstroke","Men","ROC","Kliment Kolesnikov",52,2,"recent","RUS"
"Tokyo",2020,100,"Backstroke","Men","USA","Ryan Murphy",52.19,3,"recent","USA"
"Tokyo",2020,100,"Backstroke","Men","ITA","Thomas Ceccon",52.3,4,"recent","ITA"
"Tokyo",2020,100,"Backstroke","Men","CHN","Jiayu Xu",52.51,4,"recent","CHN"
"Tokyo",2020,100,"Backstroke","Men","ESP","Hugo Gonzalez De Oliveira",52.78,4,"recent","ESP"
"Tokyo",2020,100,"Backstroke","Men","AUS","Mitchell Larkin",52.79,4,"recent","AUS"
"Tokyo",2020,100,"Backstroke","Men","ROU","Robert Glinta",52.95,4,"recent","ROU"
"Tokyo",2020,100,"Breaststroke","Men","GBR","Adam Peaty",57.37,1,"recent","GBR"
"Tokyo",2020,100,"Breaststroke","Men","NED","Arno Kamminga",58,2,"recent","NED"
"Tokyo",2020,100,"Breaststroke","Men","ITA","Nicolo Martinenghi",58.33,3,"recent","ITA"
"Tokyo",2020,100,"Breaststroke","Men","USA","Michael Andrew",58.84,4,"recent","USA"
"Tokyo",2020,100,"Breaststroke","Men","GBR","James Wilby",58.96,4,"recent","GBR"
"Tokyo",2020,100,"Breaststroke","Men","CHN","Zibei Yan",58.99,4,"recent","CHN"
"Tokyo",2020,100,"Breaststroke","Men","USA","Andrew Wilson",58.99,4,"recent","USA"
"Tokyo",2020,100,"Breaststroke","Men","BLR","Ilya Shymanovich",59.36,4,"recent","BLR"
"Tokyo",2020,100,"Butterfly","Men","USA","Caeleb Dressel",49.45,1,"recent","USA"
"Tokyo",2020,100,"Butterfly","Men","HUN","Kristof Kristof Milak",49.68,2,"recent","HUN"
"Tokyo",2020,100,"Butterfly","Men","SUI","Noe Ponti",50.74,3,"recent","SUI"
"Tokyo",2020,100,"Butterfly","Men","ROC","Andrei Minakov",50.88,4,"recent","RUS"
"Tokyo",2020,100,"Butterfly","Men","POL","Jakub Majerski",50.92,4,"recent","POL"
"Tokyo",2020,100,"Butterfly","Men","AUS","Matthew Temple",50.92,4,"recent","AUS"
"Tokyo",2020,100,"Butterfly","Men","GUA","Luis Martinez",51.09,4,"recent","GUA"
"Tokyo",2020,100,"Butterfly","Men","BUL","Josif Miladinov",51.49,4,"recent","BUL"
"Tokyo",2020,100,"Freestyle","Men","USA","Caeleb Dressel",47.02,1,"recent","USA"
"Tokyo",2020,100,"Freestyle","Men","AUS","Kyle Chalmers",47.08,2,"recent","AUS"
